"ADDRESS","NUMBER","STREET","UNIT","CITY","DISTRICT","REGION","POSTCODE","ID","STATE","matched_street","matched_zip","matched_city","matched_state","lat","lon","score","precision","geocode_result","tract00","tract10","tract20"
" 30TH ST  CA 95660","","30TH ST","","",NA,"","95660","2.08008E+13","CA","30th St",95660,"North Highlands","CA",38.697702,-121.396695,0.744,"street","geocoded",74.06,74.06,74.35
" 46TH ST  CA 95823","","46TH ST","","",NA,"","95823","3.90011E+12","CA","46th St",95823,"Sacramento","CA",38.507134,-121.452422,0.763,"street","geocoded",47,47.02,47.02
" 7TH AVE  CA 95820","","7TH AVE","","",NA,"","95820","1.50111E+12","CA","7th Ave",95820,"Sacramento","CA",38.545245,-121.452747,0.763,"street","geocoded",29,29,29
" BANNISTER RD  CA 95628","","BANNISTER RD","","",NA,"","95628","2.4201E+13","CA","Bannister Rd",95628,"Fair Oaks","CA",38.633629,-121.287086,0.881,"street","geocoded",80.1,80.1,80.1
" BOND RD  CA 95624","","BOND RD","","",NA,"","95624","1.16147E+13","CA","Bond Rd",95624,"Point Pleasant","CA",38.423465,-121.382756,0.888,"street","geocoded",93.08,93.23,93.23
" BRANDON OAKS LN  CA 95608","","BRANDON OAKS LN","","",NA,"","95608","2.56038E+13","CA","Brandon Oaks Ln",95608,"Carmichael","CA",38.630426,-121.345976,0.886,"street","geocoded",76.02,76.02,76.02
" BRANNAN ISLAND RD  CA 95641","","BRANNAN ISLAND RD","","",NA,"","95641","1.56008E+13","CA","Brannan Island Rd",95641,"Isleton","CA",38.126855,-121.58218,0.882,"street","geocoded",98,98,98
" E SANDBURG DR  CA 95819","","E SANDBURG DR","","",NA,"","95819","5.0231E+11","CA","Sandburg Dr",95819,"Sacramento","CA",38.57577,-121.42378,0.813,"street","geocoded",1,1,1
" ELDER CREEK RD  CA 95829","","ELDER CREEK RD","","",NA,"","95829","6.3012E+12","CA","Elder Creek Rd",95829,"Sacramento","CA",38.510715,-121.36843,0.878,"street","geocoded",92,92.01,92.01
" FANUCCHI WAY BAKERSFIELD CA 93263","","FANUCCHI WAY","","BAKERSFIELD",NA,"CA","93263","81719","CA","Fanucchi Way E",93263,"North Shafter","CA",35.456081,-119.192848,0.714,"street","geocoded",39,39,39
